filename,caption,predicted_caption
000302.jpg,Golden quesadilla triangles with fresh guacamole and toppings.,there is a tray of food that includes a sandwich and a sandwich
000303.jpg,"Crispy fried fish, golden fries, coleslaw, and lemon wedge.",a plate with a sandwich and french fries on it
000304.jpg,Colorful bowl of various cooked vegetables including lotus slices.,a bowl filled with a bowl of food on top of a table
000305.jpg,"Powdered sugar dusted French toast, soft and inviting.",a white plate topped with a sandwich and a side of salad
000306.jpg,"Creamy, chunky soup in a bowl with a spoon.",a bowl of soup and a bowl of soup on a table
000307.jpg,Layered purple and white dessert with a crunchy base.,there is a large chocolate cake on a plate
000308.jpg,"Savory stew, rice, corn, and plantains on green plate.",there is a bowl of food on the table
000309.jpg,Crispy fried seafood with sauce and lemon wedge.,there is a bowl of food on a table
000310.jpg,Falafel balls on a bed of chopped tomatoes.,a white plate topped with a piece of cake and a fork
000311.jpg,"Caprese salad with fresh mozzarella, tomato, and basil.",there is a plate of food that includes broccoli and a fork
000312.jpg,"Sushi rolls topped with avocado, sesame, and shredded crab.",a close up of a plate of food on a table
000313.jpg,Fresh green salad with orange segments and walnuts.,a white plate topped with broccoli carrots and a fork
000314.jpg,Stacked tomato and mozzarella with pesto on arugula.,a white plate topped with broccoli next to a salad
000315.jpg,Snails in shells with green herb sauce.,a white plate topped with meat and broccoli and a fork
000316.jpg,"Chocolate dessert with cocoa powder, strawberries, and mint.",there is a bowl of fruit on the table
000317.jpg,"Mexican dish with cheesy quesadillas, rice, and fresh salsa.",a white plate topped with a piece of cake and a fork
000318.jpg,Cold soba noodles served with assorted small accompaniments.,a bowl of soup and a bowl of soup on a wooden table
000319.jpg,Colorful ceviche with fresh cilantro and crunchy corn tortillas.,a close up of a plate of food with oranges and a fork
000320.jpg,"Golden eggs Benedict with hash browns, a classic breakfast.",a white plate topped with a piece of cake
000321.jpg,"Saucy chicken wings in a wooden bowl, ready to enjoy.",there is a plate of food on the table
000322.jpg,Loaded nachos topped with fresh vegetables and melted cheese.,there is a large pizza on a plate on the table
000323.jpg,Delicious blueberry cheesecake slice with sauce and whipped cream.,there is a piece of cake on a plate
000324.jpg,Sweet dessert generously dusted with powdered sugar and chocolate.,a close up of a plate of food on a table
000325.jpg,Golden fried fish with crispy fries and dipping sauces.,a white plate topped with a sandwich and a bowl of soup
000326.jpg,Toasted bread topped with fresh diced tomatoes and basil.,a close up of a plate of food on a table with a fork
000327.jpg,Steamed mussels in a savory sauce with lemon.,a bowl of meat and vegetables on top of a table
000328.jpg,Two crispy crab cakes with fries and applesauce.,a white plate topped with fries and a sandwich
000329.jpg,"Assorted bruschetta with fresh tomato, mozzarella, and basil.",a close up of a plate of food on a table with a fork
000330.jpg,Sweet fried dough balls dusted with powdered sugar.,a bunch of doughnuts that are sitting in a box
000331.jpg,"Assortment of fried, roasted, and shelled dishes on wood.",a table with a plate of food and a bowl of food
000333.jpg,Sliced marbled meat with green paste and fresh salad.,there is a pizza that is sitting on a tray
000334.jpg,"Couscous with curry sauce, sprouts, and fresh vegetables.",there is a bowl of soup and a bowl of soup on the table
000335.jpg,Creamy yellow soup with visible chunks in white bowl.,a close up of a bowl of soup and a bowl of water
000336.jpg,"Seafood paella with mussels, squid, and lemon wedges.",a close up of a plate of food with broccoli
000337.jpg,"Roasted chicken, large pasta stew, and fresh bread.",two plates of food on a table with a fork and a fork
000338.jpg,Golden quesadilla wedges with a variety of dipping sauces.,a plate with a sandwich and a bowl of soup on it
000339.jpg,"Assorted sushi, fried rice, and stir-fried chicken.",a white plate topped with meat and broccoli
000340.jpg,Quinoa base topped with vibrant green leafy vegetables.,a close up of a plate of food with broccoli and cheese
000341.jpg,Hearty red soup with cauliflower florets and zucchini chunks.,there is a bowl of soup and a bowl of soup
000342.jpg,"Cheeseburger with melted cheese, crispy fries, and lettuce.",a white plate topped with a hot dog and fries
000343.jpg,"Two large calzones, one with visible tomato sauce.",a white plate topped with a slice of pizza and a glass of wine
000344.jpg,"Fried rice with green beans, mushrooms, and spring rolls.",there is a bowl of food on a table on a table
000345.jpg,"Pasta, seared salmon, mixed vegetables, and a creamy soup.",there is a plate of food on a table
000346.jpg,Fresh guacamole served in a stone molcajete bowl.,a man standing in a kitchen preparing food on a table
000347.jpg,"Japanese breakfast: rice, miso soup, and egg omelet.",a bowl of soup and a bowl of food on a table
000348.jpg,"Hearty stew with meat and potatoes, served with bread.",there is a bowl of soup and a bowl of soup on the table
000349.jpg,Fresh green salads and cooked protein on white plates.,a group of people sitting around a table with plates of food
000350.jpg,Elaborate spread with roasted meat and decorated savory cakes.,a woman sitting at a table with a plate of food and a bottle of wine
000351.jpg,Hearty white bean soup with herbs and crusty bread.,a bowl of soup and a bowl of soup on a dining table
000352.jpg,"Grilled eggplant, zucchini, peppers, and sun-dried tomatoes.",a white plate topped with meat and vegetables on a table
000353.jpg,"Roasted turkey, green beans, and carrots on a table.",a group of people sitting at a table with plates of food
000354.jpg,"Sweet dates, golden flatbread, and sauces on plates.",a table with a plate of food and a cup of coffee
000355.jpg,"Grilled meat, roasted potatoes, and colorful side dishes.",a white plate topped with a piece of cake and a fork
000356.jpg,Fresh fruit tarts with assorted colorful toppings.,a bunch of fruits and vegetables on a plate
000357.jpg,Warm tea and a small pastry on wooden table.,a dining room table with two chairs and a coffee table
000358.jpg,Golden omelette with fresh sliced cucumber salad.,a white plate topped with broccoli and meat
000359.jpg,Burgers and fries served on metal trays.,a group of people sitting at a table with wine glasses
000360.jpg,"Colorful salad with pomegranate, avocado, citrus, and beans.",there is a plate of food on a table with a fork
000361.jpg,"Fried eggs with bright yellow, runny yolks.",a white plate topped with a bowl of food
000362.jpg,A bowl of ice cream with cream puffs and chocolate.,there is a bowl of fruit on a white plate
000363.jpg,"Whole baked fish with tomatoes, olives, and lemon.",a close up of a plate of food on a table with a fork
000364.jpg,"Full breakfast plate with eggs, bacon, beans, potatoes, toast.",two plates of food on a wooden table table
000365.jpg,Fresh green salad with tortellini pasta.,two plates of food on a table with a fork
000366.jpg,"Dessert with sweet white and caramel drizzle, strawberry garnish.",a white plate topped with a cut in half sandwich on a table
000367.jpg,"Grilling chicken, zucchini, bell peppers; raw marinated meat.",a white plate topped with meat and veggies on a table
000368.jpg,"Assorted sushi, salads, and drinks in takeout containers.",a table topped with plates of food next to a bottle of wine
000369.jpg,Powdered sugar-dusted pastries beside a cup of iced coffee.,a cup of coffee sitting on top of a counter
000370.jpg,"Sandwiches, salads, chicken wings, and beverages on picnic table.",a group of people sitting around a table eating food
000371.jpg,"Traditional Japanese meal set with rice, soup, and sides.",a woman standing in a kitchen next to a bowl of food
000372.jpg,Three fried eggs in oil with seasoning.,a bowl of food on a table next to a glass of wine
000373.jpg,"Meat, potatoes, and vibrant peppers in golden sunlight.",a plate of food with a fork and a fork
000374.jpg,Green rice with bright orange shredded carrots.,a white plate topped with a fork and a fork and fork
000375.jpg,"Plates of stir-fry, crispy chips, and scrambled egg.",two plates of food on a table with a glass of water
000376.jpg,"Noodles, meatballs, green beans, and shredded cheese.",there is a bowl of food on the table in the kitchen
000377.jpg,Chocolate drip cake with piped frosting and candy.,a birthday cake on a table next to a cup of coffee
000378.jpg,"Fish fillets, steamed vegetables, and decorative breadstick.",a white plate topped with a slice of cake and a fork
000379.jpg,"Fluffy scrambled eggs and warm folded flatbreads, ready for breakfast.",a close up of a plate of food on a table with a fork
000380.jpg,"Savory fried rice with meat, cabbage, topped with egg.",a white plate topped with meat and veggies on a table
000381.jpg,Golden flatbreads and creamy scrambled eggs on a simple tray.,a close up of a plate of food on a table with a fork
000382.jpg,Juicy cheeseburger with fresh toppings and a side of beans.,a white plate topped with a sandwich and a pickle
000383.jpg,"Fresh fruit salad with grapes, peaches and small pastries.",a bowl of food that is on top of a table
000384.jpg,A lavish spread of various savory and sweet dishes.,a table topped with plates of food and bowls of food
000385.jpg,"Assorted pizza slices with tomato, zucchini, and cheese toppings.",a close up of a pizza on a table
000386.jpg,Fruit and chocolate skewer drizzled with rich chocolate sauce.,a woman sitting at a table in front of a plate of food
000387.jpg,"A feast of rice, meat, and fresh salads.",a table topped with plates of food and bowls of food
000388.jpg,White frosted cake slice with raspberry filling and sprinkles.,there is a cake that is on a table
000389.jpg,"Seafood plate with shrimp, fish, broccoli, and potatoes.",a white plate topped with broccoli and meat on a table
000390.jpg,"Abundant spread of roasted meat, salads, and grilled dishes.",a group of people sitting around a table eating pizza
000391.jpg,"Toasted sandwich with melted cheese, ham, egg, and fries.",a plate with a sandwich and fries on it
000392.jpg,"Freshly chopped vegetables, corn, and ingredients on a counter.",a table topped with lots of different types of foods
000393.jpg,"Plate of potato wedges, lentils, carrots, and mixed greens.",a white plate topped with meat and vegetables on a table
000394.jpg,"Whole fish baked with potatoes, carrots, and colorful peppers.",a close up of a plate of food on a stove
000395.jpg,"Hearty stew, fresh salads with eggs, and green olives.",a table topped with plates of food and a bowl of soup
000396.jpg,"Breaded fish fillet with pasta, broccoli, and a lemon.",a white plate topped with meat and broccoli on a table
000397.jpg,Salmon fillet with potato balls and a side salad.,two plates of food on a table with a bowl of food
000398.jpg,Three perfectly fried eggs on a white plate.,a white plate topped with a piece of fruit and a fork
000399.jpg,Small round pastries cooking on a griddle.,a group of people standing around a table filled with cakes
000400.jpg,Stuffed zucchini boat with savory meat and vegetables.,a white plate topped with meat and veggies on a table
000401.jpg,"Shrimp, grains, and colorful mixed vegetables on a plate.",there is a bowl of food on top of a table
000402.jpg,Assorted cheese board with fruit and two wine glasses.,a glass of wine sitting on top of a counter
000403.jpg,"Grilled wrap, toasted burger, and crispy golden fries.",a table topped with a plate of food and a sandwich
000404.jpg,"Foamy latte, crispy fried onions, and a blurry waffle.",a white plate with a sandwich and a cup of soup
000405.jpg,"Cereal, toast, muffins, coffee, and juice on a tray.",a table with a plate of food and a cup of coffee
000406.jpg,"Fruit salad with strawberries, grapes, melon, and bananas.",a bunch of bananas and oranges on a table
000407.jpg,"Steamed broccoli, purple rice, and turmeric tofu stew.",a white plate topped with broccoli and a fork
000408.jpg,Sizzling plate with stir-fried dish and various sauces.,a group of people sitting around a table with food
000409.jpg,"Couscous with meat, chickpeas, and mixed root vegetables.",there is a plate of food with broccoli and a fork
000410.jpg,"Creamy macaroni with peas, grated cheese, and fresh herbs.",a bowl of soup with broccoli and a spoon
000411.jpg,"Chicken with roasted vegetables, mashed potatoes, and sauce.",there is a plate of food on the table
000412.jpg,"Grilled skewers on banana leaf, some slightly charred.",a table topped with lots of unripe bananas and other vegetables
000413.jpg,"Seafood with colorful peppers, avocado, and yellow sauce.",a white plate topped with meat and veggies on a table
000414.jpg,A table laden with multiple dishes and various foods.,a table topped with plates of food and bowls of food
000415.jpg,"Hearty breakfast with omelet, pancakes, and fruit sauce.",a table with two plates of food and a glass of wine on it
000416.jpg,Colorful macarons neatly arranged in display trays.,a table topped with lots of different types of donuts and drinks
000417.jpg,"Leftover pizza slices, coffee cups, water bottle.",a table topped with plates of food and drinks
000418.jpg,"Plates with potatoes, meat, and beet salad.",a couple of plates of food that are on a table
000419.jpg,"Roasted turkey, fresh salad, and bread rolls.",a couple of people that are sitting at a table with food
000420.jpg,Hearty brown soup with noodles and lentils.,there is a bowl of soup and a bowl of soup
000421.jpg,"Picnic spread: burgers, wraps, fruit skewers, and chips.",a table topped with plates of food and a bowl of food
000422.jpg,Grilled chicken drumsticks and thighs cooking on a griddle.,a pan filled with lots of different types of pizza
000423.jpg,"Large saucy burrito with vegetables, served with guacamole.",a plate of food with a fork and a bowl of food
000424.jpg,"Melted, bubbly cheese topping a rich, brown soup.",a close up of a pizza on a pan on a table
000425.jpg,Sliced cooked meat with a savory sauce on a plate.,a white plate topped with food on a table with a fork
000426.jpg,"Golden pancakes with butter, sliced bananas, and coffee.",a table with a plate of food and a cup of coffee
000427.jpg,"Steamed potatoes with herbs, tomato, and green pepper.",a bowl of food on a table next to a glass of water
000428.jpg,"Gnocchi with tomato sauce, salad, bread, and soup.",a bowl of food on a table next to a bowl of food
000429.jpg,Guacamole with shredded vegetables and fresh lime wedges.,a white plate topped with meat and broccoli on a table
000430.jpg,"Chicken skewers, sausages, cheese slices, and potatoes.",a pan filled with lots of food on top of a table
000431.jpg,Fried fish and fries on a white plate.,a group of people sitting around a table with plates of food
000432.jpg,"Sushi rolls with rice, sesame seeds, vegetables, and wasabi.",a close up of a plate of food on a wooden table
000433.jpg,Pink macaron with raspberry and elegant red petal garnish.,there is a chocolate cake on the plate
000434.jpg,Table spread with various Asian dishes and drinks.,a group of people sitting around a table with plates of food
000435.jpg,Spaghetti noodles generously covered with rich red sauce.,a close up of a plate of food on a table
000436.jpg,"Rice with meat, julienned vegetables, bread, and banana.",a white plate topped with a salad and a spoon
000437.jpg,Fresh submarine sandwich with vegetables and a drink.,a woman sitting at a table with a plate of food and a fork
000438.jpg,Grilled fish fillet served with diced tomatoes and lemon.,a white plate topped with a hot dog and a pickle
000439.jpg,Two hot dogs with generous sauerkraut in buns.,two hotdogs with mustard and ketchup on a white plate
000440.jpg,Salmon and rice porridge with fresh herbs.,a bowl of soup with broccoli and sauce
000441.jpg,A spread of Asian dishes including fish and greens.,a woman sitting at a table with a plate of food and a salad
000442.jpg,"Breakfast: egg, hash browns, kiwi, oranges, and coffee.",there is a plate of food on the table on the table
000443.jpg,Steaming clay pot with green bean and tomato stew.,a pan filled with meat and vegetables in a bowl
000444.jpg,Vibrant platter of assorted fresh fruits.,a close up of a plate of fruit and fruit
000445.jpg,Spaghetti with clams on a white plate.,a group of people standing around a table with plates of food
000446.jpg,"Boiled egg, radish, and assorted fried items.",a close up of a plate of food with bananas and a knife
000447.jpg,Powdered sugar dusted cannoli with creamy filling.,a close up of a doughnut on a plate table
000448.jpg,"Sandwich with fried egg, cheese, and french fries.",a white plate topped with a hot dog and a fork
000449.jpg,Crisp green lettuce salad with creamy dressing.,a close up of a plate of food on a table with a sandwich
000450.jpg,"Golden waffle with whipped cream, strawberries, and blueberries.",a white plate topped with a slice of cake
000451.jpg,"Golden waffle with powdered sugar, bacon, and fluffy eggs.",a close up of a piece of cake on a plate table
000452.jpg,Glazed fish fillet with white purée on a brown plate.,a piece of chocolate cake sitting on top of a plate
000453.jpg,"Escargots in a black pan with green sauce, bread.",a close up of a slice of pizza on a table
000454.jpg,Seared scallops on green lettuce with sliced red peppers.,a close up of a plate of food on a table with a fork
000455.jpg,Fresh green salad with orange slices and pumpkin seeds.,a white plate topped with meat and vegetables on a table
000456.jpg,"Colorful macarons in red, blue, and green, in packaging.",a close up of a plate of food on a wooden table
000457.jpg,Grilled sandwich with visible lettuce and crispy bread marks.,a close up of a sandwich on a white plate
000458.jpg,"Creamy curry, rice, and naan bread.",a close up of a plate of food with broccoli
000459.jpg,"Thinly sliced meat, salad, croutons, and white fish.",there is a plate of food that includes broccoli and a fork
000460.jpg,Sushi rolls with soy sauce and pickled ginger.,there is a table with a plate of food on it
000461.jpg,"Spicy chicken wings with celery, carrots, and dipping sauce.",a close up of a plate of food with carrots and a fork
000462.jpg,"Rice bowl with egg, mushrooms, sprouts, and vegetables.",there is a plate of food on a table in the kitchen
000463.jpg,Creamy yellow soup with fresh green herb garnish.,a close up of a bowl of food on a table with a spoon
000464.jpg,Crispy fried calamari with two dipping sauces and lemon.,a white plate topped with a piece of cake and a fork
000465.jpg,"Fried patties topped with poached eggs, drizzled sauce, and greens.",a white plate topped with a hot dog and a fork
000466.jpg,Toasted bruschetta topped with diced tomatoes and fresh basil.,a close up of a plate of food on a table with a fork
000467.jpg,"Glazed ribs, crinkle fries, and creamy coleslaw on a plate.",a white plate topped with a burger and fries
000468.jpg,Dark curry and white rice on a simple meal tray.,a bowl of soup and a bowl of soup on a table
000469.jpg,Glazed chicken wings with a vibrant red sauce.,a close up of a plate of food on a table with a fork
000470.jpg,Fresh green salad with yellow fruit and pistachios.,a white bowl filled with vegetables and a spoon
000471.jpg,"Elegant beet salad with microgreens, nuts, and creamy dressing.",a white plate topped with a piece of cake and a fork
000472.jpg,Mixed green salad with many bright red tomatoes.,a bowl of food that is on top of a table
000473.jpg,Golden wrap drizzled with creamy and green sauces.,a close up of a piece of food on a plate
000474.jpg,Savory fried rice with a few green peas.,a white plate topped with meat and vegetables on a table
000475.jpg,Layered chocolate cake with creamy filling and glossy ganache.,there is a chocolate cake that is on a plate
000476.jpg,"Pile of crispy, vibrant orange chicken wings.",a close up of a plate of doughnuts and a knife
000477.jpg,"Pizza slice with cheesy, green herb topping.",there is a slice of pizza on a table
000478.jpg,White meat with glazed onions and savory sauce.,a close up of a plate of food on a table
000479.jpg,"Sweet dumpling in a rich, dark syrupy sauce.",a bowl of food on a table with a spoon
000480.jpg,"Two golden-brown, crispy fried pastries in a basket.",there is a plate with a sandwich on it and a fork
000481.jpg,"Red carpaccio with fresh sprouts, red onion, and sesame.",a close up of a slice of pizza on a plate
000482.jpg,Chocolate bar dessert with ice cream and elegant sauce drizzle.,a piece of cake on a white plate with a fork
000483.jpg,"Chicken stir-fry with vegetables, onions, and rich savory sauce.",a white bowl filled with food on top of a wooden table
000484.jpg,"Fried fish, crispy fries, green peas, and creamy sauce.",a white plate topped with a hot dog and a salad
000485.jpg,"Golden fried fish fillets, potato wedges, lemon, and sauce.",a close up of a plate of food on a table with a fork
000486.jpg,"Noodles topped with lacy egg, sprouts, and chives.",a white plate topped with meat and vegetables on a white plate
000487.jpg,Rich brown soup with cream and fresh chives.,a bowl of soup with a spoon in it on a table
000488.jpg,Glazed ribs and golden crispy french fries.,there is a hot dog and french fries on a table
000489.jpg,"Golden pastry pieces, drizzled with sweet syrup.",a white plate topped with a piece of cake and a fork
000490.jpg,Crispy fried fish and golden fries with dipping sauces.,a close up of a plate of food on a table with a plate of food
000491.jpg,"Fresh spring rolls with shrimp, greens, and peanut sauce.",a white plate topped with a sandwich next to a cup of coffee
000492.jpg,Crispy fried calamari served with colorful garnishes and sauces.,a white plate topped with meat and vegetables on a table
000493.jpg,Chilled soba noodles on a bamboo mat with dipping sauce.,a white plate topped with chocolate cake and a cup of coffee
000494.jpg,"Assorted sandwiches with meat, tomato, egg, and cucumber fillings.",two hotdogs with ketchup and onions on a plate
000495.jpg,"Crispy falafel balls with sesame seeds, pickles, and sauce.",a white plate topped with a hot dog and a sandwich
000496.jpg,Two eggs benedict topped with rich hollandaise sauce.,there is a plate of food with a sandwich on it and a fork
000497.jpg,Decadent chocolate mousse with whipped cream and chocolate shavings.,a white plate topped with a cake and a spoon
000498.jpg,Golden fried chicken wings with celery and creamy dip.,a plate with a sandwich and fries on it and a cup of fries
000499.jpg,Crispy fried fish and fries with dipping sauces.,a table with a plate of food and a bowl of soup
000500.jpg,Fresh tomato and mozzarella salad with toasted bread.,a close up of a plate of food on a table with a fork
